VALUE,EVT_Name,LFRDB,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,r,g,b,Red,Green,Blue
9514,Northwestern Great Plains Floodplain Herbaceous,9014,2162,Tr Western Great Plains Floodplain Systems,Herb,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Perennial graminoid grassland,6,53,122,0.02352900000,0.20784300000,0.47843100000
9513,Northwestern Great Plains Floodplain Shrubland,9014,2162,Tr Western Great Plains Floodplain Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,6,53,122,0.02352900000,0.20784300000,0.47843100000
9015,Northwestern Great Plains Riparian Forest,9015,2162,Tr Western Great Plains Floodplain Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Deciduous open tree canopy,6,53,122,0.02352900000,0.20784300000,0.47843100000
9516,Northwestern Great Plains Riparian Herbaceous,9015,2162,Tr Western Great Plains Floodplain Systems,Herb,669,Riparian,Western Herbaceous Wetland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Perennial graminoid grassland,6,53,122,0.02352900000,0.20784300000,0.47843100000
9515,Northwestern Great Plains Riparian Shrubland,9015,2162,Tr Western Great Plains Floodplain Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,6,53,122,0.02352900000,0.20784300000,0.47843100000
9026,Western Great Plains Floodplain Forest and Woodland,9026,2162,Tr Western Great Plains Floodplain Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Deciduous open tree canopy,6,53,122,0.02352900000,0.20784300000,0.47843100000
9527,Western Great Plains Floodplain Herbaceous,9026,2162,Tr Western Great Plains Floodplain Systems,Herb,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,6,53,122,0.02352900000,0.20784300000,0.47843100000
9526,Western Great Plains Floodplain Shrubland,9026,2162,Tr Western Great Plains Floodplain Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Perennial graminoid grassland,6,53,122,0.02352900000,0.20784300000,0.47843100000
9529,Western Great Plains Riparian Herbaceous,9028,2162,Tr Western Great Plains Floodplain Systems,Herb,669,Riparian,Western Herbaceous Wetland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Perennial graminoid grassland,6,53,122,0.02352900000,0.20784300000,0.47843100000
9528,Western Great Plains Riparian Shrubland,9028,2162,Tr Western Great Plains Floodplain Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland,6,53,122,0.02352900000,0.20784300000,0.47843100000
9028,Western Great Plains Riparian Woodland,9028,2162,Tr Western Great Plains Floodplain Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,LF 42: Great Plains Riparian,Tree-dominated,Open tree canopy,Deciduous open tree canopy,6,53,122,0.02352900000,0.20784300000,0.47843100000
7165,Northern Rocky Mountain Foothill Conifer Wooded Steppe,7165,2165,Tr Northern Rocky Mountain Foothill Conifer Wooded Steppe,Tree,614,Conifer,Douglas-fir Forest and Woodland,SRM 109: Ponderosa Pine-Shrubland,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,55,146,173,0.21568600000,0.57254900000,0.67843100000
7166,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,7166,2166,Tr Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,51,0,0.00000000000,0.20000000000,0.00000000000
7167,Rocky Mountain Poor-Site Lodgepole Pine Forest,7167,2167,Tr Rocky Mountain Poor-Site Lodgepole Pine Forest,Tree,622,Conifer,Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,163,240,219,0.63921600000,0.94117600000,0.85882400000
7168,Northern Rocky Mountain Avalanche Chute Shrubland,7168,2168,Sh Northern Rocky Mountain Avalanche Chute Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Deciduous shrubland,128,97,69,0.50196100000,0.38039200000,0.27058800000
7169,Northern Rocky Mountain Subalpine Deciduous Shrubland,7169,2169,Sh Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Deciduous shrubland,128,97,69,0.50196100000,0.38039200000,0.27058800000
