site,severity,date,trap,indID,species,binomial,binomial_short,family,age,recap,weight,comments
GRNQUA,unb,2017-08-08,C9,KING-034,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,NA,N,NA,dead
GRNSNO,unb,2017-07-18,H7,CLIP-7,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,A,N,6,butt clipped
GRNTUR,unb,2017-07-11,C7,138,NEQU,Neotamias quadrimaculatus,N. quadrimaculatus,Sciuridae,A,N,98,NA
GRNTUR,unb,2017-07-11,I6,053,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,NA,N,NA,dead
GRNWOO,unb,2017-07-04,B2,432,NEFU,Neotoma fuscipes,N. fuscipes,Cricetidae,A,N,259,NA
GRNWOO,unb,2017-07-04,A6,434,PEBO,Peromyscus boylii,P. boylii,Cricetidae,A,N,21,NA
GRNWOO,unb,2017-07-04,B1,433,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,14,NA
GRNWOO,unb,2017-07-04,C1,KING-048,SOTR,Sorex trowbridgii,S. trowbridgii,Soricidae,NA,N,NA,dead; mort
GRNWOO,unb,2017-07-04,C4,151,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,12,treadle too tight
GRNWOO,unb,2017-07-04,H9,439,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,16,broken tail
HIBADR,high,2017-08-29,E10,262,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,20,NA
HIBADR,high,2017-08-29,G6,KING-012,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,NA,mort
HIBADR,high,2017-08-29,C2,KING-009,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,NA,mort
HIBADR,high,2017-08-29,A1,985,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,20,NA
HIBADR,high,2017-08-29,E1,KING-007,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,19,mort; tail also cut off (possibly in trap)
HIBADR,high,2017-08-29,I3,KING-004,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,16,mort
HICAMP,high,2017-06-27,J10,413422,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,13,NA
HICAMP,high,2017-06-27,J9,382277,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,11,NA
HICAMP,high,2017-06-27,C8,131357,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,13,NA
HICORN,high,2017-08-15,D1,878,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,19,NA
HICORN,high,2017-08-15,J4,331,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,11,NA
HICORN,high,2017-08-15,H1,748,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,20,NA
HICOWS,high,2017-08-23,A10,202,PEBO,Peromyscus boylii,P. boylii,Cricetidae,S,N,18,NA
HICOWS,high,2017-08-23,H8,425,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,12,NA
HIDODD,high,2017-07-25,J10,253,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,16,NA
HIDODD,high,2017-07-25,B7,KING-059,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,NA,dead in trap
HISHRU,high,2017-08-08,D6,811,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,25,NA
HISHRU,high,2017-08-08,C8,038,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,17,NA
HISHRU,high,2017-08-08,I10,365,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,S,N,10,NA
HISHRU,high,2017-08-08,G9,701,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,17,NA
HISQUE,high,2017-08-01,G8,KING-075,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,NA,dead
HISQUE,high,2017-08-01,I4,KING-093,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,NA,dead
HISQUE,high,2017-08-01,D2,KING-085,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,NA,dead
HITEDD,high,2017-07-18,J4,484,PEMA,Peromyscus maniculatus,P. maniculatus,Cricetidae,A,N,13,NA
